deal_id,date,group,store,source,lead_type,new_used,make,model,model_year,sale_price,front_gross,back_gross,fi_products,salesperson_id,days_to_close
D199147,2023-10-01,Harbor Motor Group,Harbor BMW,Lease Retention,campaign,new,BMW,3 Series,2023,76885,2460,1324,2,SP920,23
D199770,2023-10-01,Harbor Motor Group,Harbor BMW,Direct Mail Q1,campaign,new,BMW,3 Series,2023,74744,4215,1263,1,SP715,17
D199967,2023-10-01,Harbor Motor Group,Harbor BMW,Walk In,showroom,new,BMW,5 Series,2023,78726,5925,1606,1,SP670,31
D199975,2023-10-01,Harbor Motor Group,Harbor BMW,Walk In,showroom,used,BMW,X3,2020,47060,3956,1611,1,SP481,38
D200865,2023-10-01,Harbor Motor Group,Harbor BMW,Phone Up,phone,new,BMW,X3,2023,46940,4587,1318,0,SP460,45
D180375,2023-10-01,Harbor Motor Group,Harbor Chevrolet Marina,OEM Website,internet,new,Chevrolet,Malibu,2023,32087,2638,1498,2,SP732,16
D180401,2023-10-01,Harbor Motor Group,Harbor Chevrolet Marina,OEM Website,internet,used,Toyota,Tundra,2017,23796,2457,772,1,SP498,10
D183242,2023-10-01,Harbor Motor Group,Harbor Chevrolet Marina,Inbound Calls,phone,new,Chevrolet,Equinox,2023,44283,2088,573,1,SP942,31
D184082,2023-10-01,Harbor Motor Group,Harbor Chevrolet Marina,FB Marketplace,internet,new,Chevrolet,Traverse,2023,41708,1702,761,2,SP498,27
D174297,2023-10-01,Harbor Motor Group,Harbor Ford Portside,OEM Website,internet,used,Ford,F-150,2021,29798,2454,1153,3,SP975,24
D175745,2023-10-01,Harbor Motor Group,Harbor Ford Portside,Lease Return,campaign,used,Ford,Escape,2021,28896,1162,294,0,SP741,40
D166883,2023-10-01,Harbor Motor Group,Harbor Honda Seaside,ATC,internet,new,Honda,Accord,2023,32206,2038,669,0,SP522,6
D167958,2023-10-01,Harbor Motor Group,Harbor Honda Seaside,CarGurus,internet,new,Honda,HR-V,2023,35748,2736,702,1,SP587,17
D170460,2023-10-01,Harbor Motor Group,Harbor Honda Seaside,Showroom,showroom,new,Honda,Civic,2023,46625,2645,1508,0,SP312,37
D171400,2023-10-01,Harbor Motor Group,Harbor Honda Seaside,Phone Up,phone,new,Honda,Odyssey,2023,40658,2818,969,0,SP271,3
D191684,2023-10-01,Harbor Motor Group,Harbor Jeep Ram Anchor,AutoTrader.com,internet,new,Jeep Ram,Ram 1500,2023,28827,2510,550,0,SP818,3
D191699,2023-10-01,Harbor Motor Group,Harbor Jeep Ram Anchor,AutoTrader.com,internet,used,Jeep Ram,Ram 1500,2021,22114,2499,628,0,SP403,14
