period,group,store,channel,sessions,users,vdp_views,conversions
2023-10,Harbor Motor Group,Harbor BMW,Organic Search,5118,3913,2625,117
2023-10,Harbor Motor Group,Harbor BMW,Paid Search,3161,2295,1540,72
2023-10,Harbor Motor Group,Harbor BMW,Direct,2408,1993,1116,52
2023-10,Harbor Motor Group,Harbor BMW,Organic Social,1505,1233,795,17
2023-10,Harbor Motor Group,Harbor BMW,Paid Social,1204,947,545,29
2023-10,Harbor Motor Group,Harbor BMW,Referral,903,750,537,9
2023-10,Harbor Motor Group,Harbor BMW,Email,752,556,460,15
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Organic Search,5697,4148,2578,131
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,3518,2797,1676,88
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Direct,2680,2023,1382,47
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Organic Social,1675,1430,971,20
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,1340,1152,637,14
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Referral,1005,847,593,18
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Email,837,618,411,20
2023-10,Harbor Motor Group,Harbor Ford Portside,Organic Search,6735,5041,3640,177
2023-10,Harbor Motor Group,Harbor Ford Portside,Paid Search,4160,3215,2414,69
2023-10,Harbor Motor Group,Harbor Ford Portside,Direct,3169,2430,1510,36
2023-10,Harbor Motor Group,Harbor Ford Portside,Organic Social,1981,1550,1144,39
2023-10,Harbor Motor Group,Harbor Ford Portside,Paid Social,1584,1328,940,35
2023-10,Harbor Motor Group,Harbor Ford Portside,Referral,1188,1002,715,32
2023-10,Harbor Motor Group,Harbor Ford Portside,Email,990,742,451,21
2023-10,Harbor Motor Group,Harbor Honda Seaside,Organic Search,6276,5000,3857,164
2023-10,Harbor Motor Group,Harbor Honda Seaside,Paid Search,3876,2824,2214,52
2023-10,Harbor Motor Group,Harbor Honda Seaside,Direct,2953,2302,1533,76
2023-10,Harbor Motor Group,Harbor Honda Seaside,Organic Social,1846,1532,919,50
