period,group,store,new_units,used_units,avg_days_on_lot,avg_price_to_market
2023-10,Harbor Motor Group,Harbor BMW,97,70,44.6,101.0
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,93,73,61.2,96.3
2023-10,Harbor Motor Group,Harbor Ford Portside,110,102,45.4,96.9
2023-10,Harbor Motor Group,Harbor Honda Seaside,100,70,56.7,103.5
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,90,84,47.0,103.1
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,60,62,60.1,102.4
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,71,47,58.0,101.2
2023-10,Harbor Motor Group,Harbor Toyota Bayview,139,86,55.5,95.6
2023-10,Summit Auto Group,Summit BMW,117,92,48.0,96.0
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,119,72,32.1,103.4
2023-10,Summit Auto Group,Summit Ford Rivera,123,110,30.8,102.5
2023-10,Summit Auto Group,Summit Honda Westland,108,96,61.0,100.9
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,67,50,60.1,97.3
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,111,79,33.1,97.9
2023-10,Summit Auto Group,Summit Kia Brookfield,75,57,44.3,100.8
2023-10,Summit Auto Group,Summit Mazda Lakeside,48,40,66.5,98.7
2023-10,Summit Auto Group,Summit Nissan Ridgemont,67,75,52.2,100.4
2023-10,Summit Auto Group,Summit Subaru Northgate,57,51,45.1,102.2
2023-10,Summit Auto Group,Summit Toyota of Fairview,123,104,39.3,103.5
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,47,48,38.6,103.5
2023-11,Harbor Motor Group,Harbor BMW,91,91,50.3,96.3
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,83,71,45.7,97.9
2023-11,Harbor Motor Group,Harbor Ford Portside,136,106,63.1,102.3
2023-11,Harbor Motor Group,Harbor Honda Seaside,117,86,31.4,96.3
2023-11,Harbor Motor Group,Harbor Jeep Ram Anchor,93,63,51.1,94.9
2023-11,Harbor Motor Group,Harbor Kia Lighthouse,74,66,53.4,95.1
2023-11,Harbor Motor Group,Harbor Subaru Tidewater,54,42,33.9,95.0
2023-11,Harbor Motor Group,Harbor Toyota Bayview,112,94,34.2,103.8
2023-11,Summit Auto Group,Summit BMW,127,93,55.0,99.7
2023-11,Summit Auto Group,Summit Chevrolet Glenpark,87,68,55.4,95.6
2023-11,Summit Auto Group,Summit Ford Rivera,124,82,71.4,99.3
2023-11,Summit Auto Group,Summit Honda Westland,128,77,35.3,98.4
2023-11,Summit Auto Group,Summit Hyundai Oakhurst,84,53,34.0,96.0
2023-11,Summit Auto Group,Summit Jeep Ram Clearwater,76,89,59.0,103.2
2023-11,Summit Auto Group,Summit Kia Brookfield,65,70,62.9,94.4
2023-11,Summit Auto Group,Summit Mazda Lakeside,47,52,39.2,96.7
2023-11,Summit Auto Group,Summit Nissan Ridgemont,70,78,57.6,101.2
2023-11,Summit Auto Group,Summit Subaru Northgate,77,48,63.8,98.0
2023-11,Summit Auto Group,Summit Toyota of Fairview,128,101,66.9,100.1
2023-11,Summit Auto Group,Summit Volkswagen Eastdale,42,49,50.7,98.6
2023-12,Harbor Motor Group,Harbor BMW,89,67,68.3,102.8
2023-12,Harbor Motor Group,Harbor Chevrolet Marina,99,62,61.6,101.9
2023-12,Harbor Motor Group,Harbor Ford Portside,97,79,39.5,103.3
2023-12,Harbor Motor Group,Harbor Honda Seaside,117,92,48.4,98.6
2023-12,Harbor Motor Group,Harbor Jeep Ram Anchor,90,68,58.4,98.0
2023-12,Harbor Motor Group,Harbor Kia Lighthouse,74,66,56.7,95.7
2023-12,Harbor Motor Group,Harbor Subaru Tidewater,50,58,41.5,99.6
2023-12,Harbor Motor Group,Harbor Toyota Bayview,107,90,68.3,102.9
2023-12,Summit Auto Group,Summit BMW,90,94,67.8,98.5
2023-12,Summit Auto Group,Summit Chevrolet Glenpark,122,79,67.0,100.0
2023-12,Summit Auto Group,Summit Ford Rivera,131,111,58.3,96.8
2023-12,Summit Auto Group,Summit Honda Westland,128,101,47.1,102.7
2023-12,Summit Auto Group,Summit Hyundai Oakhurst,72,60,49.5,99.0
2023-12,Summit Auto Group,Summit Jeep Ram Clearwater,107,75,65.9,102.4
2023-12,Summit Auto Group,Summit Kia Brookfield,77,67,33.3,95.4
