stock_number,group,store,new_used,make,model,model_year,days_on_lot,list_price,cost,price_to_market_pct,vdp_views_30d,leads_30d
S30259,Summit Auto Group,Summit Honda Westland,new,Honda,Pilot,2026,368,48515,45173,95.1,9,0
S30827,Summit Auto Group,Summit Chevrolet Glenpark,used,Chevrolet,Malibu,2025,319,27149,25461,104.9,294,3
S33111,Harbor Motor Group,Harbor Jeep Ram Anchor,used,BMW,X5,2018,309,29908,28705,104.5,769,1
S32819,Harbor Motor Group,Harbor Kia Lighthouse,new,Kia,Forte,2026,287,44405,42288,99.3,182,0
S33114,Harbor Motor Group,Harbor Jeep Ram Anchor,used,Chevrolet,Silverado,2025,286,16913,15668,105.6,32,0
S32384,Harbor Motor Group,Harbor Honda Seaside,new,Honda,Odyssey,2026,281,35456,34264,98.0,98,1
S31721,Summit Auto Group,Summit Volkswagen Eastdale,new,Volkswagen,ID.4,2026,277,28915,25665,100.8,116,3
S30231,Summit Auto Group,Summit Toyota of Fairview,used,BMW,X3,2025,276,23566,22258,105.0,52,5
S30954,Summit Auto Group,Summit Nissan Ridgemont,new,Nissan,Sentra,2026,268,29205,27908,94.6,59,3
S31486,Summit Auto Group,Summit Subaru Northgate,used,Jeep Ram,Compass,2023,266,31929,29097,99.8,29,1
S30443,Summit Auto Group,Summit Honda Westland,used,Honda,CR-V,2022,264,29111,27677,102.5,160,3
S32456,Harbor Motor Group,Harbor Ford Portside,new,Ford,Explorer,2026,254,31942,28348,104.5,765,1
S31352,Summit Auto Group,Summit Mazda Lakeside,new,Mazda,CX-90,2026,248,35326,33370,100.2,120,5
S31733,Summit Auto Group,Summit Volkswagen Eastdale,used,Volkswagen,Tiguan,2020,246,21563,20187,103.1,202,1
S32861,Harbor Motor Group,Harbor Kia Lighthouse,new,Kia,Sorento,2026,242,36649,31985,97.0,12,3
S31415,Summit Auto Group,Summit Subaru Northgate,new,Subaru,Impreza,2026,241,26865,24268,100.5,139,0
S31922,Summit Auto Group,Summit BMW,used,Toyota,Corolla,2023,240,40009,37092,96.2,497,1
S33303,Harbor Motor Group,Harbor BMW,used,BMW,3 Series,2024,236,34259,31769,98.8,836,0
S31942,Summit Auto Group,Summit BMW,new,BMW,3 Series,2026,233,77949,72261,94.0,158,0
S32647,Harbor Motor Group,Harbor Chevrolet Marina,used,Toyota,Tacoma,2021,230,24732,22741,102.2,64,0
S31512,Summit Auto Group,Summit Jeep Ram Clearwater,used,Jeep Ram,Gladiator,2019,225,26171,23868,102.6,1,1
S30449,Summit Auto Group,Summit Ford Rivera,used,Honda,Odyssey,2022,223,31388,29837,96.6,304,1
S31569,Summit Auto Group,Summit Jeep Ram Clearwater,new,Jeep Ram,Gladiator,2026,223,51190,49037,104.3,27,3
S32190,Harbor Motor Group,Harbor Toyota Bayview,new,Toyota,RAV4,2026,220,32474,30740,97.2,52,3
S32729,Harbor Motor Group,Harbor Chevrolet Marina,used,Toyota,Corolla,2021,218,23641,21720,103.5,56,3
S31808,Summit Auto Group,Summit BMW,used,BMW,i4,2018,218,45845,42631,101.6,59,1
S31025,Summit Auto Group,Summit Hyundai Oakhurst,used,Honda,Pilot,2022,217,21590,19144,94.7,167,3
S30199,Summit Auto Group,Summit Toyota of Fairview,used,Toyota,RAV4,2021,216,25973,24763,105.0,176,1
S32036,Harbor Motor Group,Harbor Toyota Bayview,used,BMW,i4,2018,215,17479,15197,93.4,32,0
S32095,Harbor Motor Group,Harbor Toyota Bayview,used,Toyota,Camry,2022,215,30575,26712,96.4,30,1
S30335,Summit Auto Group,Summit Honda Westland,used,Honda,Accord,2022,214,19779,17671,99.7,180,0
S31105,Summit Auto Group,Summit Hyundai Oakhurst,used,Toyota,Camry,2024,214,17383,16321,103.8,110,1
S31108,Summit Auto Group,Summit Hyundai Oakhurst,new,Hyundai,Kona,2026,213,42461,40287,95.5,221,0
S32685,Harbor Motor Group,Harbor Chevrolet Marina,used,Chevrolet,Silverado,2024,212,28369,25838,105.6,547,5
S32293,Harbor Motor Group,Harbor Honda Seaside,used,Honda,Pilot,2023,208,30902,27354,94.2,29,2
S32016,Harbor Motor Group,Harbor Toyota Bayview,used,Toyota,Tacoma,2023,208,28608,27447,104.1,113,0
S32702,Harbor Motor Group,Harbor Chevrolet Marina,new,Chevrolet,Malibu,2026,206,45640,42786,104.5,33,0
S32600,Harbor Motor Group,Harbor Chevrolet Marina,new,Chevrolet,Tahoe,2026,205,47601,42882,96.2,217,5
S31336,Summit Auto Group,Summit Mazda Lakeside,used,Toyota,RAV4,2018,204,28173,25452,104.7,133,1
S31660,Summit Auto Group,Summit Jeep Ram Clearwater,used,Jeep Ram,Ram 2500,2019,203,28363,24527,103.7,189,1
S32886,Harbor Motor Group,Harbor Kia Lighthouse,new,Kia,Sportage,2026,202,37821,34004,105.0,217,0
