period,group,store,source,lead_type,leads,sales,new_sales,used_sales,gross,budget
2023-10,Harbor Motor Group,Harbor BMW,auto trader,internet,261,23,13,10,121933,3276
2023-10,Harbor Motor Group,Harbor BMW,Cars.com,internet,156,11,6,5,58253,2418
2023-10,Harbor Motor Group,Harbor BMW,Car Gurus,internet,253,16,9,7,80502,2964
2023-10,Harbor Motor Group,Harbor BMW,Dealer Website,internet,285,34,19,15,183611,
2023-10,Harbor Motor Group,Harbor BMW,Lease Retention,campaign,59,17,12,5,41173,
2023-10,Harbor Motor Group,Harbor BMW,Svc Conquest,service,44,12,9,3,40292,
2023-10,Harbor Motor Group,Harbor BMW,Direct Mail Q1,campaign,97,8,6,2,34863,5070
2023-10,Harbor Motor Group,Harbor BMW,Walk In,showroom,69,25,18,7,156012,
2023-10,Harbor Motor Group,Harbor BMW,Phone Up,phone,116,17,12,5,90294,
2023-10,Harbor Motor Group,Harbor BMW,Website Chat,chat,63,5,3,2,19213,702
2023-10,Harbor Motor Group,Harbor BMW,Facebook Marketplace,internet,56,3,2,1,11316,1092
2023-10,Harbor Motor Group,Harbor BMW,True Car,internet,109,4,2,2,13769,2028
2023-10,Harbor Motor Group,Harbor BMW,Radio Spot,campaign,2,0,0,0,0,312
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,auto trader,internet,226,17,9,8,51629,2940
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Cars.com,internet,131,12,7,5,39322,2170
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Car Gurus,internet,219,12,7,5,28449,2660
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,OEM Website,internet,286,33,18,15,127082,
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Lease Retention,campaign,66,16,12,4,28221,
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Service Conquest,service,38,10,7,3,19653,
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Direct Mail Q1,campaign,90,4,3,1,10965,4550
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Walk-In,showroom,61,20,14,6,64469,
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Inbound Calls,phone,96,20,14,6,58173,
