raw_source,canonical_source
ATC,Autotrader
AutoTrader.com,Autotrader
Autotrader,Autotrader
CARS,Cars.com
Car Gurus,CarGurus
CarGurus,CarGurus
Cars .com,Cars.com
Cars.com,Cars.com
Chat,Website Chat
Dealer Website,Dealer Website
Direct Mail,Direct Mail Q1
Direct Mail Q1,Direct Mail Q1
FB Marketplace,Facebook Marketplace
Facebook,Facebook Marketplace
Facebook Marketplace,Facebook Marketplace
Inbound Calls,Inbound Calls
Inbound Phone,Inbound Calls
Lease Retention,Lease Return
Lease Return,Lease Return
Live Chat,Website Chat
OEM Website,Dealer Website
Phone Up,Inbound Calls
Radio,Radio Spot
Radio Spot,Radio Spot
Service Conquest,Service Conquest
Showroom,Walk In
Svc Conquest,Service Conquest
True Car,TrueCar
TrueCar,TrueCar
Walk In,Walk In
Walk-In,Walk In
Website,Dealer Website
Website Chat,Website Chat
auto trader,Autotrader
cargurus.com,CarGurus
