period,group,store,opcode_family,ro_count,labor_revenue,parts_revenue,customer_pay,avg_hours
2023-10,Harbor Motor Group,Harbor BMW,Maintenance,164,33542,20299,1,1.2
2023-10,Harbor Motor Group,Harbor BMW,Repair,96,15798,18668,1,2.4
2023-10,Harbor Motor Group,Harbor BMW,Tires,32,6596,6108,1,1.7
2023-10,Harbor Motor Group,Harbor BMW,Recall,21,3070,1943,0,1.7
2023-10,Harbor Motor Group,Harbor BMW,Warranty,42,7751,8193,0,1.4
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Maintenance,171,39152,26679,1,0.8
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Repair,100,20359,16962,1,1.3
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Tires,33,8548,4475,1,3.2
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Recall,22,5468,4585,0,1.9
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Warranty,44,10794,6868,0,1.5
2023-10,Harbor Motor Group,Harbor Ford Portside,Maintenance,217,50644,19782,1,2.8
2023-10,Harbor Motor Group,Harbor Ford Portside,Repair,127,20798,25910,1,1.4
2023-10,Harbor Motor Group,Harbor Ford Portside,Tires,42,9894,7362,1,2.2
2023-10,Harbor Motor Group,Harbor Ford Portside,Recall,28,7218,4012,0,2.6
2023-10,Harbor Motor Group,Harbor Ford Portside,Warranty,56,12841,5394,0,2.8
2023-10,Harbor Motor Group,Harbor Honda Seaside,Maintenance,212,41343,33263,1,1.8
2023-10,Harbor Motor Group,Harbor Honda Seaside,Repair,124,26724,17318,1,1.6
2023-10,Harbor Motor Group,Harbor Honda Seaside,Tires,41,6490,8419,1,1.7
2023-10,Harbor Motor Group,Harbor Honda Seaside,Recall,27,5313,5237,0,1.3
2023-10,Harbor Motor Group,Harbor Honda Seaside,Warranty,55,13671,7185,0,1.9
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Maintenance,150,31171,29018,1,1.7
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Repair,88,21266,15848,1,1.0
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Tires,29,6475,3817,1,2.6
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Recall,19,4010,3038,0,1.4
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Warranty,39,6967,4512,0,2.0
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Maintenance,117,19574,17354,1,3.3
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Repair,68,12097,7480,1,2.2
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Tires,22,5379,3040,1,1.3
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Recall,15,3372,1714,0,3.3
