period,group,store,channel,spend
2023-10,Harbor Motor Group,Harbor BMW,Paid Search,1607
2023-10,Harbor Motor Group,Harbor BMW,Paid Social,530
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,1567
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,435
2023-10,Harbor Motor Group,Harbor Ford Portside,Paid Search,1719
2023-10,Harbor Motor Group,Harbor Ford Portside,Paid Social,677
2023-10,Harbor Motor Group,Harbor Honda Seaside,Paid Search,1313
2023-10,Harbor Motor Group,Harbor Honda Seaside,Paid Social,558
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,1263
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,450
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,976
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,414
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,1024
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,302
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,1572
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,580
2023-10,Summit Auto Group,Summit BMW,Paid Search,1844
2023-10,Summit Auto Group,Summit BMW,Paid Social,651
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,1299
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,518
2023-10,Summit Auto Group,Summit Ford Rivera,Paid Search,1458
2023-10,Summit Auto Group,Summit Ford Rivera,Paid Social,681
2023-10,Summit Auto Group,Summit Honda Westland,Paid Search,1946
2023-10,Summit Auto Group,Summit Honda Westland,Paid Social,502
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,925
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,452
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,1258
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,604
2023-10,Summit Auto Group,Summit Kia Brookfield,Paid Search,1121
2023-10,Summit Auto Group,Summit Kia Brookfield,Paid Social,452
2023-10,Summit Auto Group,Summit Mazda Lakeside,Paid Search,799
2023-10,Summit Auto Group,Summit Mazda Lakeside,Paid Social,369
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,1247
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,435
2023-10,Summit Auto Group,Summit Subaru Northgate,Paid Search,814
2023-10,Summit Auto Group,Summit Subaru Northgate,Paid Social,287
2023-10,Summit Auto Group,Summit Toyota of Fairview,Paid Search,2256
2023-10,Summit Auto Group,Summit Toyota of Fairview,Paid Social,697
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,884
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,264
2023-11,Harbor Motor Group,Harbor BMW,Paid Search,1453
2023-11,Harbor Motor Group,Harbor BMW,Paid Social,621
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,1345
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,452
2023-11,Harbor Motor Group,Harbor Ford Portside,Paid Search,1861
2023-11,Harbor Motor Group,Harbor Ford Portside,Paid Social,647
2023-11,Harbor Motor Group,Harbor Honda Seaside,Paid Search,1802
2023-11,Harbor Motor Group,Harbor Honda Seaside,Paid Social,561
2023-11,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,1265
2023-11,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,536
2023-11,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,1141
2023-11,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,358
2023-11,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,997
2023-11,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,303
2023-11,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,1668
2023-11,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,594
2023-11,Summit Auto Group,Summit BMW,Paid Search,1861
2023-11,Summit Auto Group,Summit BMW,Paid Social,586
2023-11,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,1636
2023-11,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,558
2023-11,Summit Auto Group,Summit Ford Rivera,Paid Search,1422
2023-11,Summit Auto Group,Summit Ford Rivera,Paid Social,711
2023-11,Summit Auto Group,Summit Honda Westland,Paid Search,1802
2023-11,Summit Auto Group,Summit Honda Westland,Paid Social,522
2023-11,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,1126
2023-11,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,420
2023-11,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,1500
2023-11,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,434
2023-11,Summit Auto Group,Summit Kia Brookfield,Paid Search,1207
2023-11,Summit Auto Group,Summit Kia Brookfield,Paid Social,465
2023-11,Summit Auto Group,Summit Mazda Lakeside,Paid Search,996
2023-11,Summit Auto Group,Summit Mazda Lakeside,Paid Social,318
2023-11,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,1401
2023-11,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,484
2023-11,Summit Auto Group,Summit Subaru Northgate,Paid Search,797
2023-11,Summit Auto Group,Summit Subaru Northgate,Paid Social,327
2023-11,Summit Auto Group,Summit Toyota of Fairview,Paid Search,1900
2023-11,Summit Auto Group,Summit Toyota of Fairview,Paid Social,641
2023-11,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,717
2023-11,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,282
2023-12,Harbor Motor Group,Harbor BMW,Paid Search,1751
2023-12,Harbor Motor Group,Harbor BMW,Paid Social,522
2023-12,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,1516
2023-12,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,600
2023-12,Harbor Motor Group,Harbor Ford Portside,Paid Search,1771
2023-12,Harbor Motor Group,Harbor Ford Portside,Paid Social,636
2023-12,Harbor Motor Group,Harbor Honda Seaside,Paid Search,1698
2023-12,Harbor Motor Group,Harbor Honda Seaside,Paid Social,642
2023-12,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,1350
2023-12,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,443
2023-12,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,1103
2023-12,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,330
2023-12,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,984
2023-12,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,372
2023-12,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,2133
2023-12,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,582
2023-12,Summit Auto Group,Summit BMW,Paid Search,1673
2023-12,Summit Auto Group,Summit BMW,Paid Social,526
2023-12,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,1212
2023-12,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,556
2023-12,Summit Auto Group,Summit Ford Rivera,Paid Search,1961
2023-12,Summit Auto Group,Summit Ford Rivera,Paid Social,672
2023-12,Summit Auto Group,Summit Honda Westland,Paid Search,1317
2023-12,Summit Auto Group,Summit Honda Westland,Paid Social,653
2023-12,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,1223
2023-12,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,467
2023-12,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,1312
2023-12,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,595
2023-12,Summit Auto Group,Summit Kia Brookfield,Paid Search,1135
2023-12,Summit Auto Group,Summit Kia Brookfield,Paid Social,405
2023-12,Summit Auto Group,Summit Mazda Lakeside,Paid Search,745
2023-12,Summit Auto Group,Summit Mazda Lakeside,Paid Social,266
2023-12,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,1007
2023-12,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,473
2023-12,Summit Auto Group,Summit Subaru Northgate,Paid Search,744
2023-12,Summit Auto Group,Summit Subaru Northgate,Paid Social,286
2023-12,Summit Auto Group,Summit Toyota of Fairview,Paid Search,2249
2023-12,Summit Auto Group,Summit Toyota of Fairview,Paid Social,796
2023-12,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,892
2023-12,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,290
2024-01,Harbor Motor Group,Harbor BMW,Paid Search,1711
2024-01,Harbor Motor Group,Harbor BMW,Paid Social,454
2024-01,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,1466
2024-01,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,408
2024-01,Harbor Motor Group,Harbor Ford Portside,Paid Search,1555
2024-01,Harbor Motor Group,Harbor Ford Portside,Paid Social,652
2024-01,Harbor Motor Group,Harbor Honda Seaside,Paid Search,1294
2024-01,Harbor Motor Group,Harbor Honda Seaside,Paid Social,679
2024-01,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,1317
2024-01,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,529
2024-01,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,849
2024-01,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,432
2024-01,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,795
2024-01,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,394
2024-01,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,2029
2024-01,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,675
2024-01,Summit Auto Group,Summit BMW,Paid Search,1758
2024-01,Summit Auto Group,Summit BMW,Paid Social,705
2024-01,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,1584
2024-01,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,653
2024-01,Summit Auto Group,Summit Ford Rivera,Paid Search,2056
2024-01,Summit Auto Group,Summit Ford Rivera,Paid Social,738
2024-01,Summit Auto Group,Summit Honda Westland,Paid Search,1357
2024-01,Summit Auto Group,Summit Honda Westland,Paid Social,496
2024-01,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,1178
2024-01,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,430
2024-01,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,1388
2024-01,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,434
2024-01,Summit Auto Group,Summit Kia Brookfield,Paid Search,934
2024-01,Summit Auto Group,Summit Kia Brookfield,Paid Social,400
2024-01,Summit Auto Group,Summit Mazda Lakeside,Paid Search,830
2024-01,Summit Auto Group,Summit Mazda Lakeside,Paid Social,256
2024-01,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,1079
2024-01,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,475
2024-01,Summit Auto Group,Summit Subaru Northgate,Paid Search,1011
2024-01,Summit Auto Group,Summit Subaru Northgate,Paid Social,329
2024-01,Summit Auto Group,Summit Toyota of Fairview,Paid Search,1779
2024-01,Summit Auto Group,Summit Toyota of Fairview,Paid Social,789
2024-01,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,747
2024-01,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,244
2024-02,Harbor Motor Group,Harbor BMW,Paid Search,1415
2024-02,Harbor Motor Group,Harbor BMW,Paid Social,517
2024-02,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,1191
2024-02,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,526
2024-02,Harbor Motor Group,Harbor Ford Portside,Paid Search,1612
2024-02,Harbor Motor Group,Harbor Ford Portside,Paid Social,574
2024-02,Harbor Motor Group,Harbor Honda Seaside,Paid Search,1385
2024-02,Harbor Motor Group,Harbor Honda Seaside,Paid Social,619
2024-02,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,1441
2024-02,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,427
2024-02,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,995
2024-02,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,350
2024-02,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,900
2024-02,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,320
