period,store,source,lead_type,leads,sales,new_sales,used_sales,gross,budget
2023-09,Chevrolet Cranberry,Autotrader,internet,226,14,8,6,34653,3108
2023-09,Chevrolet Cranberry,CarGurus,internet,25,0,0,0,0,674
2023-09,Chevrolet Cranberry,CarGurus,phone,6,0,0,0,0,168
2023-09,Chevrolet Cranberry,Cars.com,internet,106,7,4,3,22502,2294
2023-09,Chevrolet Cranberry,Craigslist,internet,36,3,2,1,7720,
2023-09,Chevrolet Cranberry,Dealer Website,chat,39,5,3,2,14825,
2023-09,Chevrolet Cranberry,Dealer Website,internet,237,34,19,15,120341,
2023-09,Chevrolet Cranberry,Facebook Marketplace,internet,136,9,5,4,22003,951
2023-09,Chevrolet Cranberry,Inbound Calls,phone,88,22,16,6,59554,
2023-09,Chevrolet Cranberry,Lease Return,campaign,56,20,14,6,37831,
2023-09,Chevrolet Cranberry,Service Conquest,service,51,10,7,3,17860,
2023-09,Chevrolet Cranberry,TrueCar,internet,69,3,2,1,7912,1924
2023-09,Chevrolet Cranberry,Walk In,showroom,80,43,31,12,140315,
2023-09,Chevrolet Cranberry,Website Chat,chat,47,4,2,2,10083,666
2023-09,Honda Monroeville,Autotrader,internet,213,13,7,6,36945,2436
2023-09,Honda Monroeville,CarGurus,internet,14,0,0,0,0,528
2023-09,Honda Monroeville,CarGurus,phone,3,0,0,0,0,132
2023-09,Honda Monroeville,Cars.com,internet,117,7,4,3,21383,1797
2023-09,Honda Monroeville,Craigslist,internet,20,0,0,0,0,
2023-09,Honda Monroeville,Dealer Website,chat,32,3,2,1,11187,
2023-09,Honda Monroeville,Dealer Website,internet,198,24,13,11,73186,
2023-09,Honda Monroeville,Facebook Marketplace,internet,85,5,3,2,10358,745
2023-09,Honda Monroeville,Inbound Calls,phone,96,15,11,4,49818,
2023-09,Honda Monroeville,Lease Return,campaign,39,12,9,3,19198,
2023-09,Honda Monroeville,Service Conquest,service,30,7,5,2,12501,
2023-09,Honda Monroeville,TrueCar,internet,81,6,3,3,14356,1508
2023-09,Honda Monroeville,Walk In,showroom,65,30,22,8,94755,
2023-09,Honda Monroeville,Website Chat,chat,36,1,1,0,2615,522
2023-09,Nissan Boardman,Autotrader,internet,369,29,16,13,83512,4200
2023-09,Nissan Boardman,CarGurus,internet,45,3,1,2,8904,912
2023-09,Nissan Boardman,CarGurus,phone,11,0,0,0,0,228
2023-09,Nissan Boardman,Cars.com,internet,237,21,12,9,62694,3100
2023-09,Nissan Boardman,Craigslist,internet,39,1,1,0,2424,
2023-09,Nissan Boardman,Dealer Website,chat,75,7,4,3,24942,
2023-09,Nissan Boardman,Dealer Website,internet,458,61,34,27,226722,
2023-09,Nissan Boardman,Facebook Marketplace,internet,156,8,4,4,20235,1285
2023-09,Nissan Boardman,Inbound Calls,phone,164,16,12,4,48690,
2023-09,Nissan Boardman,Lease Return,campaign,98,28,20,8,41912,
2023-09,Nissan Boardman,Service Conquest,service,82,16,12,4,37517,
2023-09,Nissan Boardman,TrueCar,internet,98,10,6,4,24696,2600
2023-09,Nissan Boardman,Walk In,showroom,100,34,24,10,107155,
2023-09,Nissan Boardman,Website Chat,chat,80,6,3,3,14780,900
2023-10,Chevrolet Cranberry,Autotrader,internet,222,17,9,8,43157,3099
2023-10,Chevrolet Cranberry,CarGurus,internet,31,1,0,1,2493,674
2023-10,Chevrolet Cranberry,CarGurus,phone,8,0,0,0,0,168
2023-10,Chevrolet Cranberry,Cars.com,internet,97,9,5,4,28166,2295
2023-10,Chevrolet Cranberry,Craigslist,internet,40,1,1,0,2208,
2023-10,Chevrolet Cranberry,Dealer Website,chat,44,8,4,4,30295,
2023-10,Chevrolet Cranberry,Dealer Website,internet,271,38,21,17,148365,
2023-10,Chevrolet Cranberry,Facebook Marketplace,internet,106,4,2,2,7538,754
2023-10,Chevrolet Cranberry,Inbound Calls,phone,86,21,15,6,59572,
2023-10,Chevrolet Cranberry,Lease Return,campaign,18,4,3,1,7495,
2023-10,Chevrolet Cranberry,Service Conquest,service,45,13,9,4,29488,
2023-10,Chevrolet Cranberry,TrueCar,internet,69,3,2,1,7574,1851
2023-10,Chevrolet Cranberry,Walk In,showroom,69,24,17,7,90641,
2023-10,Chevrolet Cranberry,Website Chat,chat,50,9,5,4,21375,671
2023-10,Honda Monroeville,Autotrader,internet,192,16,9,7,50038,2429
2023-10,Honda Monroeville,CarGurus,internet,15,2,0,2,4782,528
2023-10,Honda Monroeville,CarGurus,phone,4,0,0,0,0,132
2023-10,Honda Monroeville,Cars.com,internet,112,14,8,6,38990,1799
2023-10,Honda Monroeville,Craigslist,internet,20,0,0,0,0,
2023-10,Honda Monroeville,Dealer Website,chat,37,8,4,4,30248,
2023-10,Honda Monroeville,Dealer Website,internet,225,20,11,9,71236,
2023-10,Honda Monroeville,Facebook Marketplace,internet,69,2,1,1,3999,591
2023-10,Honda Monroeville,Inbound Calls,phone,102,9,6,3,26264,
2023-10,Honda Monroeville,Lease Return,campaign,15,7,5,2,13234,
2023-10,Honda Monroeville,Service Conquest,service,32,11,8,3,26001,
2023-10,Honda Monroeville,TrueCar,internet,83,6,3,3,12758,1451
2023-10,Honda Monroeville,Walk In,showroom,55,15,11,4,59222,
2023-10,Honda Monroeville,Website Chat,chat,36,3,2,1,6838,525
2023-10,Nissan Boardman,Autotrader,internet,283,26,14,12,78407,4188
2023-10,Nissan Boardman,CarGurus,internet,39,0,0,0,0,912
2023-10,Nissan Boardman,CarGurus,phone,10,0,0,0,0,228
2023-10,Nissan Boardman,Cars.com,internet,238,19,10,9,52557,3101
2023-10,Nissan Boardman,Craigslist,internet,35,2,1,1,4033,
2023-10,Nissan Boardman,Dealer Website,chat,71,8,4,4,30202,
2023-10,Nissan Boardman,Dealer Website,internet,435,47,26,21,171930,
2023-10,Nissan Boardman,Facebook Marketplace,internet,123,4,2,2,9148,1019
2023-10,Nissan Boardman,Inbound Calls,phone,145,27,19,8,86781,
2023-10,Nissan Boardman,Lease Return,campaign,31,4,3,1,7598,
2023-10,Nissan Boardman,Service Conquest,service,66,11,8,3,20329,
2023-10,Nissan Boardman,TrueCar,internet,87,8,4,4,18315,2501
2023-10,Nissan Boardman,Walk In,showroom,93,29,21,8,110635,
2023-10,Nissan Boardman,Website Chat,chat,77,4,2,2,11850,906
2023-11,Chevrolet Cranberry,Autotrader,internet,192,16,9,7,47997,3091
2023-11,Chevrolet Cranberry,CarGurus,internet,34,1,0,1,2999,674
2023-11,Chevrolet Cranberry,CarGurus,phone,8,0,0,0,0,168
2023-11,Chevrolet Cranberry,Cars.com,internet,97,12,7,5,38722,2296
2023-11,Chevrolet Cranberry,Craigslist,internet,35,1,1,0,2546,
2023-11,Chevrolet Cranberry,Dealer Website,chat,42,2,1,1,6883,
2023-11,Chevrolet Cranberry,Dealer Website,internet,256,30,16,14,96186,
2023-11,Chevrolet Cranberry,Facebook Marketplace,internet,86,8,4,4,19368,655
2023-11,Chevrolet Cranberry,Inbound Calls,phone,74,10,7,3,30742,
2023-11,Chevrolet Cranberry,Lease Return,campaign,20,5,4,1,8822,
2023-11,Chevrolet Cranberry,Service Conquest,service,45,7,5,2,16707,
2023-11,Chevrolet Cranberry,TrueCar,internet,62,4,2,2,10625,1781
2023-11,Chevrolet Cranberry,Walk In,showroom,68,31,22,9,127063,
2023-11,Chevrolet Cranberry,Website Chat,chat,44,4,2,2,11284,676
2023-11,Honda Monroeville,Autotrader,internet,174,9,5,4,23024,2422
2023-11,Honda Monroeville,CarGurus,internet,11,1,0,1,2587,528
2023-11,Honda Monroeville,CarGurus,phone,3,1,0,1,2434,132
2023-11,Honda Monroeville,Cars.com,internet,126,10,6,4,34627,1800
2023-11,Honda Monroeville,Craigslist,internet,20,1,1,0,2444,
2023-11,Honda Monroeville,Dealer Website,chat,34,4,2,2,14121,
2023-11,Honda Monroeville,Dealer Website,internet,209,25,14,11,88262,
2023-11,Honda Monroeville,Facebook Marketplace,internet,59,4,2,2,9926,513
2023-11,Honda Monroeville,Inbound Calls,phone,87,9,6,3,32210,
2023-11,Honda Monroeville,Lease Return,campaign,14,5,4,1,7629,
2023-11,Honda Monroeville,Service Conquest,service,29,8,6,2,19129,
2023-11,Honda Monroeville,TrueCar,internet,77,9,5,4,22670,1396
2023-11,Honda Monroeville,Walk In,showroom,59,19,14,5,73334,
2023-11,Honda Monroeville,Website Chat,chat,33,4,2,2,9726,529
2023-11,Nissan Boardman,Autotrader,internet,294,22,12,10,66295,4177
2023-11,Nissan Boardman,CarGurus,internet,51,4,1,3,9840,912
2023-11,Nissan Boardman,CarGurus,phone,13,1,0,1,2433,228
2023-11,Nissan Boardman,Cars.com,internet,227,23,13,10,78437,3103
2023-11,Nissan Boardman,Craigslist,internet,37,2,1,1,5153,
2023-11,Nissan Boardman,Dealer Website,chat,62,3,2,1,10080,
2023-11,Nissan Boardman,Dealer Website,internet,380,40,22,18,145851,
2023-11,Nissan Boardman,Facebook Marketplace,internet,93,5,3,2,10257,885
2023-11,Nissan Boardman,Inbound Calls,phone,140,17,12,5,47600,
2023-11,Nissan Boardman,Lease Return,campaign,24,4,3,1,6650,
