period,store,channel,sessions,users,vdp_views,form_submissions,click_to_call,conversions
2023-09,Chevrolet Cranberry,autotrader / referral,1869,1369,6047,33,19,52
2023-09,Chevrolet Cranberry,bing / cpc,1031,732,1142,9,12,21
2023-09,Chevrolet Cranberry,cars.com / referral,1870,1392,5585,23,16,39
2023-09,Chevrolet Cranberry,direct / (none),3724,2854,3986,13,20,33
2023-09,Chevrolet Cranberry,email / newsletter,599,456,797,10,3,13
2023-09,Chevrolet Cranberry,facebook / paid,3258,2549,3627,17,19,36
2023-09,Chevrolet Cranberry,google / cpc,5239,4028,10265,41,62,103
2023-09,Chevrolet Cranberry,google / organic,10964,8565,20844,84,106,190
2023-09,Chevrolet Cranberry,iHeartMedia / radio,666,524,1449,1,3,4
2023-09,Honda Monroeville,autotrader / referral,1513,1093,5505,28,15,43
2023-09,Honda Monroeville,bing / cpc,875,630,990,7,9,16
2023-09,Honda Monroeville,cars.com / referral,1353,1073,3976,18,11,29
2023-09,Honda Monroeville,direct / (none),3301,2335,3447,14,19,33
2023-09,Honda Monroeville,email / newsletter,516,389,643,10,2,12
2023-09,Honda Monroeville,facebook / paid,2618,1846,2644,12,18,30
2023-09,Honda Monroeville,google / cpc,3546,2693,7757,20,32,52
2023-09,Honda Monroeville,google / organic,7869,6239,17343,59,81,140
2023-09,Honda Monroeville,iHeartMedia / radio,412,301,903,0,1,1
2023-09,Nissan Boardman,autotrader / referral,2496,1796,8345,42,28,70
2023-09,Nissan Boardman,bing / cpc,1466,1091,1632,12,18,30
2023-09,Nissan Boardman,cars.com / referral,2163,1541,6716,22,11,33
2023-09,Nissan Boardman,direct / (none),5167,3624,5692,18,25,43
2023-09,Nissan Boardman,email / newsletter,815,570,1048,14,4,18
2023-09,Nissan Boardman,facebook / paid,4001,3137,4292,22,31,53
2023-09,Nissan Boardman,google / cpc,6085,4655,13444,39,63,102
2023-09,Nissan Boardman,google / organic,14412,11144,26917,113,157,270
2023-09,Nissan Boardman,iHeartMedia / radio,1257,957,3003,3,6,9
2023-10,Chevrolet Cranberry,autotrader / referral,1595,1213,5830,27,17,44
2023-10,Chevrolet Cranberry,bing / cpc,929,666,923,7,9,16
2023-10,Chevrolet Cranberry,cars.com / referral,1679,1316,4901,20,13,33
2023-10,Chevrolet Cranberry,direct / (none),3583,2791,4707,12,15,27
2023-10,Chevrolet Cranberry,email / newsletter,211,149,260,3,1,4
2023-10,Chevrolet Cranberry,facebook / paid,2990,2159,4065,14,20,34
2023-10,Chevrolet Cranberry,google / cpc,3791,2656,8712,24,30,54
2023-10,Chevrolet Cranberry,google / organic,9779,7063,17883,49,73,122
2023-10,Chevrolet Cranberry,iHeartMedia / radio,817,622,1921,2,5,7
2023-10,Honda Monroeville,autotrader / referral,1283,934,4575,20,13,33
2023-10,Honda Monroeville,bing / cpc,693,521,817,4,5,9
2023-10,Honda Monroeville,cars.com / referral,1172,829,3189,10,6,16
2023-10,Honda Monroeville,direct / (none),3111,2208,3799,11,17,28
2023-10,Honda Monroeville,email / newsletter,164,126,179,2,0,2
2023-10,Honda Monroeville,facebook / paid,2420,1837,3230,10,13,23
2023-10,Honda Monroeville,google / cpc,3134,2253,6524,15,24,39
2023-10,Honda Monroeville,google / organic,7159,5651,13329,42,67,109
2023-10,Honda Monroeville,iHeartMedia / radio,470,367,1045,1,3,4
2023-10,Nissan Boardman,autotrader / referral,2158,1567,7691,41,26,67
2023-10,Nissan Boardman,bing / cpc,1412,990,1587,10,12,22
2023-10,Nissan Boardman,cars.com / referral,2187,1736,6721,23,12,35
2023-10,Nissan Boardman,direct / (none),5133,4061,6547,17,29,46
2023-10,Nissan Boardman,email / newsletter,306,214,342,5,1,6
2023-10,Nissan Boardman,facebook / paid,4390,3101,5653,22,27,49
2023-10,Nissan Boardman,google / cpc,5025,3795,10105,34,50,84
2023-10,Nissan Boardman,google / organic,12685,10001,23046,64,91,155
2023-10,Nissan Boardman,iHeartMedia / radio,782,624,1758,1,3,4
2023-11,Chevrolet Cranberry,autotrader / referral,1659,1184,5593,29,18,47
2023-11,Chevrolet Cranberry,bing / cpc,836,647,783,5,7,12
2023-11,Chevrolet Cranberry,cars.com / referral,1610,1237,4121,12,6,18
2023-11,Chevrolet Cranberry,direct / (none),3293,2495,4414,13,17,30
2023-11,Chevrolet Cranberry,email / newsletter,535,379,582,8,2,10
2023-11,Chevrolet Cranberry,facebook / paid,2950,2284,3809,13,17,30
2023-11,Chevrolet Cranberry,google / cpc,3424,2695,6764,18,28,46
2023-11,Chevrolet Cranberry,google / organic,9993,7300,15208,55,75,130
2023-11,Chevrolet Cranberry,iHeartMedia / radio,752,535,1702,1,3,4
2023-11,Honda Monroeville,autotrader / referral,1220,940,4535,21,12,33
2023-11,Honda Monroeville,bing / cpc,694,533,723,3,5,8
2023-11,Honda Monroeville,cars.com / referral,1136,816,3095,9,5,14
2023-11,Honda Monroeville,direct / (none),2858,2140,3576,15,23,38
2023-11,Honda Monroeville,email / newsletter,443,328,427,5,1,6
2023-11,Honda Monroeville,facebook / paid,2421,1824,3020,11,13,24
2023-11,Honda Monroeville,google / cpc,2861,2272,6328,18,26,44
2023-11,Honda Monroeville,google / organic,7559,5434,11722,38,50,88
2023-11,Honda Monroeville,iHeartMedia / radio,485,369,1159,1,3,4
2023-11,Nissan Boardman,autotrader / referral,2142,1686,7032,33,22,55
2023-11,Nissan Boardman,bing / cpc,1256,922,1187,8,10,18
2023-11,Nissan Boardman,cars.com / referral,1903,1480,5636,20,13,33
2023-11,Nissan Boardman,direct / (none),4330,3463,6552,19,31,50
2023-11,Nissan Boardman,email / newsletter,809,591,839,13,4,17
2023-11,Nissan Boardman,facebook / paid,4262,3278,5706,17,20,37
2023-11,Nissan Boardman,google / cpc,4639,3315,10398,24,40,64
2023-11,Nissan Boardman,google / organic,13065,9857,19786,81,108,189
2023-11,Nissan Boardman,iHeartMedia / radio,1102,874,2510,3,8,11
2023-12,Chevrolet Cranberry,autotrader / referral,2042,1495,6566,36,22,58
2023-12,Chevrolet Cranberry,bing / cpc,1092,858,1143,6,8,14
2023-12,Chevrolet Cranberry,cars.com / referral,1701,1289,3820,16,11,27
2023-12,Chevrolet Cranberry,direct / (none),3687,2597,5576,19,28,47
2023-12,Chevrolet Cranberry,email / newsletter,249,191,222,3,1,4
2023-12,Chevrolet Cranberry,facebook / paid,3903,2744,5741,14,20,34
2023-12,Chevrolet Cranberry,google / cpc,3484,2536,6580,22,34,56
2023-12,Chevrolet Cranberry,google / organic,11540,9111,14708,56,82,138
2023-12,Chevrolet Cranberry,iHeartMedia / radio,865,666,2053,2,5,7
2023-12,Honda Monroeville,autotrader / referral,1540,1203,5307,24,12,36
2023-12,Honda Monroeville,bing / cpc,909,664,761,4,6,10
2023-12,Honda Monroeville,cars.com / referral,1316,973,2956,11,7,18
2023-12,Honda Monroeville,direct / (none),3245,2590,4440,19,29,48
2023-12,Honda Monroeville,email / newsletter,188,145,187,2,0,2
2023-12,Honda Monroeville,facebook / paid,3242,2290,5015,14,16,30
2023-12,Honda Monroeville,google / cpc,2725,2090,5767,16,27,43
2023-12,Honda Monroeville,google / organic,8406,6668,9736,48,70,118
2023-12,Honda Monroeville,iHeartMedia / radio,532,422,1167,1,3,4
2023-12,Nissan Boardman,autotrader / referral,2739,2182,9626,41,27,68
2023-12,Nissan Boardman,bing / cpc,1368,982,1189,9,13,22
2023-12,Nissan Boardman,cars.com / referral,2382,1838,6397,15,8,23
